,CANTIDAD ACCIDENTES TIPO 1 (LEVE) ,,,,,,,,,,,
,AREA 1,,AREA 2,,AREA 3,,AREA 4,,AREA 5,,AREA 6,
Año,Contusión,Cortadura,Contusión,Cortadura,Contusión,Cortadura,Contusión,Cortadura,Contusión,Cortadura,Contusión,Cortadura
2007,1,1,0,0,0,0,0,0,0,0,0,0
2008,1,0,0,0,0,0,0,0,0,0,0,0
2009,3,1,0,0,0,0,0,0,1,0,0,0
2010,2,0,0,0,0,0,0,0,1,0,0,0
2011,2,0,0,0,0,0,0,0,0,0,0,0
2012,4,1,0,1,0,0,0,0,0,0,1,0
2013,2,1,0,0,0,0,0,0,0,1,0,0
2014,1,0,0,1,0,0,0,0,1,0,0,0
2015,4,1,0,1,4,1,0,0,0,0,0,0
2016,0,1,0,0,1,0,0,0,0,0,0,0
2017,0,0,0,1,2,0,0,0,0,0,0,0
2018,5,1,0,0,1,0,0,0,0,0,0,0
2019,0,1,0,0,0,0,1,0,0,0,0,0
2020,2,0,0,0,2,0,0,0,0,0,0,0
2021,3,0,0,0,1,0,0,0,0,0,0,0
2022,3,1,0,0,0,0,0,0,0,0,0,0
